village,district,subdistric,state_name,latitude,longitude
Amaravathinagar,Wanaparthy,Kothakota,Telangana,16.44727502177522,77.905391276463
Nimbada,Kumuram Bheem Asifabad,Asifabad,Telangana,19.35286962548089,79.24039852183603
Pusuguppa Patch I,Bhadradri Kothagudem,Cherla,Telangana,18.223352596743176,80.84597080222979
Maredumandinne,Nagarkurnool,Peddakothapally,Telangana,16.176333732901277,78.35608993869012
Anantharam,Bhadradri Kothagudem,Pinapaka,Telangana,18.04294555518944,80.4561688709193
Anthaipalle,Wanaparthy,Ghanpur,Telangana,16.614811647087972,78.01794888095296
Khajiguda,Ranga Reddy,Kothur,Telangana,17.08477437084658,78.31724303490095
Reserved Forest,Nagarkurnool,Amrabad,Telangana,16.230027244382057,78.82341637244177
Ratnapur CT,Peddapalli,Kamanpur,Telangana,18.627809549047736,79.55543991568416
Appajipalle,Mahabubnagar,Balanagar,Telangana,16.917510374214658,78.2232955218619
Pursampalle,Vikarabad,Kulkacharla,Telangana,16.948788541805346,77.95787866842944
Veljerla Iii,Ranga Reddy,Farooqnagar,Telangana,17.027886214167403,78.25726288995261
Gudur,Ranga Reddy,Kothur,Telangana,17.1845484898459,78.27980101094633
Gunjalapahad,Ranga Reddy,Kondurg,Telangana,17.117988871963444,78.00510396598253
Naincheru,Ranga Reddy,Chevella,Telangana,17.28769586019476,78.05282956491507
Nagadevupalle,Nagarkurnool,Tadoor,Telangana,16.589075214836782,78.39744751709539
Koulampet,Sangareddy,Sangareddy,Telangana,17.57709231057956,78.15009452029462
Gudoor,Ranga Reddy,Kandukur,Telangana,17.090805572918455,78.50933917631512
Hunnapur,Sangareddy,Pulkal,Telangana,17.785248556591814,77.92706271381809
Sarvaram,Bhadradri Kothagudem,Kothagudem,Telangana,17.536506135860172,80.57827222523302
B Dhacharam,Suryapet,Suryapet,Telangana,17.176768995992287,79.55187174084567
Venkatapur,Medak,Kulcharam,Telangana,17.965846609300563,78.20079708570098
Gudigudi,Kumuram Bheem Asifabad,Asifabad,Telangana,19.384929390411664,79.31656082151642
Water Body,Kamareddy,Nizamsagar,Telangana,18.151253849950137,77.9540795798542
Hajipur,Kamareddy,Yellareddy,Telangana,18.22616680526526,78.04571621934811
Venkampalle,Kamareddy,Nagireddypet,Telangana,18.080476862067975,78.0799525277644
Masjid Palle Nk,Medak,Toopran,Telangana,17.74888533277249,78.46068975543618
Peddamidisileru Z,Bhadradri Kothagudem,Cherla,Telangana,18.092949405927104,80.86973807204562
Temrianmovad,Kumuram Bheem Asifabad,Asifabad,Telangana,19.308818170826502,79.12807128291772
Kothagudem Z,Bhadradri Kothagudem,Cherla,Telangana,17.991589122325728,80.8471264428267
Veerapuram Z,Mulugu,Venkatapuram,Telangana,18.290757772375976,80.5642568987514
Illendulapadu,Khammam,Madhira,Telangana,16.886060559569753,80.37631639888384
Gollaguda R OG,Nalgonda,Nalgonda,Telangana,17.04801666979306,79.29144346733217
Punyapuram,Khammam,Wyra,Telangana,17.143009734376292,80.42276878204859
Sriramulapalle,Karimnagar,Ramadugu,Telangana,18.601730820973145,79.05796672180752
Raidandi OG,Peddapalli,Ramagundam,Telangana,18.795247853530324,79.43620689094534
Venkatapur,Mulugu,Govindaraopet,Telangana,18.20500082230787,80.06171079036643
Gollagudem,Bhadradri Kothagudem,Kothagudem,Telangana,17.729267572903993,80.65628366695734
Nallaguntapalle [Z,Mulugu,Venkatapuram,Telangana,18.229016025958003,80.65489416110997
Asaravelli,Warangal,Nallabelli,Telangana,18.033817787577618,79.96044297586567
Devavaram,Mahabubabad,Kothaguda,Telangana,17.993401713465975,80.10164226523781
Kannaigudem,Mahabubabad,Garla,Telangana,17.554525091674254,80.17309181150208
Danthenam,Bhadradri Kothagudem,Dummugudem,Telangana,17.772443934682855,80.87059784138269
Seethampeta,Bhadradri Kothagudem,Kothagudem,Telangana,17.45969658895001,80.61761710468195
Koyagutta,Bhadradri Kothagudem,Palvoncha,Telangana,17.564742512594226,80.81556617076788
Chunchupalle,Mulugu,Mangapet,Telangana,18.22850797226425,80.57438354035614
Burugudem Z,Mulugu,Venkatapuram,Telangana,18.26621634977229,80.57174444562015
Narsireddigudem G,Mulugu,Venkatapuram,Telangana,18.253821202092563,80.56796292745544
Gommupuliboinapalli Z,Bhadradri Kothagudem,Cherla,Telangana,18.07530480764734,80.793575370342
Amudalalpadu,Bhadradri Kothagudem,Dammapeta,Telangana,17.29515612920718,81.05201012074825
